phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,12,21,10404,21684,32088,0.000848,0.000992,0.001840
9,12,21,4306,41241,45547,0.000353,0.001830,0.002183
10,16,26,77063,3845086,3922149,0.005934,0.150709,0.156643
9,11,20,9396,26421,35817,0.000806,0.001038,0.001844
8,15,23,796,1157460,1158256,0.000060,0.041660,0.041720
10,14,24,9916,269044,278960,0.000861,0.010789,0.011650
9,15,24,7886,4739466,4747352,0.000663,0.181500,0.182163
9,15,24,741,1080527,1081268,0.000079,0.042165,0.042244
9,15,24,8176,1113412,1121588,0.000698,0.041878,0.042576
8,14,22,1658,599254,600912,0.000164,0.021879,0.022043
8,13,21,1731,434967,436698,0.000156,0.016249,0.016405
10,15,25,16227,364854,381081,0.001435,0.013335,0.014770
8,13,21,3342,114765,118107,0.000261,0.004800,0.005061
9,13,22,10628,75706,86334,0.000863,0.003142,0.004005
10,15,25,35162,1871288,1906450,0.002880,0.067852,0.070732
9,13,22,6410,78411,84821,0.000573,0.003174,0.003747
10,14,24,45919,1414920,1460839,0.003703,0.050270,0.053973
10,16,26,5056,2875155,2880211,0.000429,0.106606,0.107035
8,13,21,392,62428,62820,0.000040,0.002839,0.002879
10,16,26,12003,3098826,3110829,0.001035,0.125150,0.126185
10,13,23,16254,695,16949,0.001392,0.000057,0.001449
9,16,25,10752,1745904,1756656,0.000853,0.069268,0.070121
9,13,22,2628,197483,200111,0.000218,0.007501,0.007719
10,15,25,8452,2663319,2671771,0.000793,0.094874,0.095667
9,15,24,1981,1297368,1299349,0.000188,0.047574,0.047762
10,12,22,23487,16758,40245,0.001949,0.000735,0.002684
10,14,24,31816,493535,525351,0.002549,0.019261,0.021810
10,14,24,15546,864630,880176,0.001296,0.032585,0.033881
