phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,13,22,6685,93989,100674,0.000283,0.002070,0.002353
9,13,22,5931,202747,208678,0.000265,0.004116,0.004381
10,13,23,23883,8786,32669,0.000956,0.000255,0.001211
9,13,22,4310,536390,540700,0.000188,0.014422,0.014610
10,14,24,15152,106366,121518,0.000728,0.002896,0.003624
9,13,22,12544,158589,171133,0.000614,0.003950,0.004564
10,13,23,26463,452526,478989,0.001249,0.011078,0.012327
9,12,21,2441,18788,21229,0.000133,0.000505,0.000638
9,15,24,10263,655540,665803,0.000483,0.015919,0.016402
10,14,24,44859,610917,655776,0.001858,0.014593,0.016451
9,14,23,3408,365789,369197,0.000208,0.009023,0.009231
10,14,24,17623,36426,54049,0.000925,0.000973,0.001898
9,14,23,1642,753410,755052,0.000080,0.017783,0.017863
9,14,23,2203,1709773,1711976,0.000125,0.044071,0.044196
9,13,22,2829,660974,663803,0.000169,0.019364,0.019533
10,14,24,17091,108345,125436,0.000954,0.003378,0.004332
9,15,24,4601,2503465,2508066,0.000246,0.064979,0.065225
9,14,23,4927,604700,609627,0.000276,0.016156,0.016432
10,13,23,76402,208414,284816,0.003523,0.006454,0.009977
10,12,22,33193,4147,37340,0.001774,0.000189,0.001963
9,15,24,30619,2252230,2282849,0.001416,0.066089,0.067505
9,14,23,7811,41530,49341,0.000435,0.001224,0.001659
9,15,24,2948,767893,770841,0.000156,0.019250,0.019406
10,14,24,30170,485378,515548,0.001386,0.012429,0.013815
10,14,24,19179,322544,341723,0.000918,0.007892,0.008810
10,14,24,11013,116937,127950,0.000550,0.002988,0.003538
9,13,22,1868,120201,122069,0.000098,0.003057,0.003155
9,14,23,2085,375081,377166,0.000111,0.009487,0.009598
10,14,24,10960,1844223,1855183,0.000610,0.044270,0.044880
9,14,23,3917,1516338,1520255,0.000240,0.038379,0.038619
9,14,23,9853,27337981,27347834,0.000588,0.570983,0.571571
9,12,21,9634,402,10036,0.000520,0.000019,0.000539
10,13,23,14375,1096,15471,0.000652,0.000048,0.000700
9,14,23,12071,442775,454846,0.000536,0.010122,0.010658
10,15,25,18844,760388,779232,0.000838,0.017532,0.018370
9,14,23,9263,121618,130881,0.000460,0.002889,0.003349
10,13,23,12611,152119,164730,0.000672,0.003587,0.004259
9,14,23,4383,134290,138673,0.000211,0.003387,0.003598
9,13,22,4860,380857,385717,0.000237,0.008693,0.008930
9,13,22,916,312985,313901,0.000051,0.007332,0.007383
