phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,15,24,3881,316046,319927,0.000204,0.007540,0.007744
8,15,23,246,4833405,4833651,0.000012,0.086764,0.086776
10,15,25,36958,1597620,1634578,0.001472,0.028641,0.030113
10,14,24,18094,751652,769746,0.000788,0.013449,0.014237
10,12,22,21133,55359,76492,0.000842,0.001012,0.001854
8,14,22,611,350044,350655,0.000028,0.006152,0.006180
10,14,24,39954,1109894,1149848,0.001581,0.020387,0.021968
10,14,24,32390,799187,831577,0.001258,0.014514,0.015772
10,14,24,22821,509584,532405,0.000916,0.009083,0.009999
10,15,25,24599,583452,608051,0.000973,0.011499,0.012472
9,14,23,4691,1747832,1752523,0.000217,0.030499,0.030716
9,15,24,1884,2339881,2341765,0.000080,0.039780,0.039860
9,13,22,10450,79435,89885,0.000530,0.001462,0.001992
10,14,24,14566,455994,470560,0.000599,0.007741,0.008340
10,16,26,18109,3165501,3183610,0.000722,0.053289,0.054011
9,14,23,2630,854701,857331,0.000121,0.018560,0.018681
9,13,22,8387,4955,13342,0.000340,0.000173,0.000513
10,14,24,41113,778267,819380,0.001805,0.017847,0.019652
10,12,22,53740,29816,83556,0.002210,0.000788,0.002998
10,14,24,9099,1415149,1424248,0.000390,0.031206,0.031596
10,16,26,13018,2882893,2895911,0.000609,0.053020,0.053629
9,14,23,1322,223467,224789,0.000059,0.003844,0.003903
9,11,20,9465,9367,18832,0.000386,0.000159,0.000545
10,12,22,13522,41981,55503,0.000565,0.000742,0.001307
10,14,24,57346,697303,754649,0.002145,0.014074,0.016219
9,16,25,7853,14779974,14787827,0.000348,0.252665,0.253013
8,15,23,458,1047210,1047668,0.000024,0.019077,0.019101
9,15,24,1533,2582953,2584486,0.000081,0.043793,0.043874
10,14,24,36544,1763853,1800397,0.001469,0.029427,0.030896
10,14,24,16637,2381445,2398082,0.000682,0.039066,0.039748
9,14,23,8964,368665,377629,0.000387,0.006364,0.006751
10,12,22,29436,13892,43328,0.001229,0.000271,0.001500
9,14,23,23926,170260,194186,0.000833,0.003211,0.004044
10,15,25,28939,1728965,1757904,0.000871,0.033277,0.034148
8,15,23,545,1470651,1471196,0.000028,0.024385,0.024413
10,15,25,35100,1262462,1297562,0.001463,0.023726,0.025189
9,14,23,3725,475730,479455,0.000176,0.014541,0.014717
8,14,22,247,171870,172117,0.000012,0.003396,0.003408
10,14,24,64652,437732,502384,0.003131,0.009697,0.012828
